storey,wall_name,x1,y1,x2,y2,length_m
Ground Floor,WAL-I-006,30.4986,-20.4403,30.4305,-20.367,0.1
Ground Floor,WAL-I-006,29.8541,-21.0395,29.9127,-20.985,0.08
Ground Floor,WAL-I-006,29.8446,-20.9118,29.7128,-21.0343,0.18
Ground Floor,WAL-I-006,29.7809,-21.1076,29.7128,-21.0343,0.1
Ground Floor,WAL-I-006,29.7128,-21.0343,29.786,-20.9662,0.1
Ground Floor,WAL-I-006,29.9127,-20.985,29.8446,-20.9118,0.1
Ground Floor,WAL-I-006,30.5184,-20.2853,30.4305,-20.367,0.12
Ground Floor,WAL-I-006,30.4986,-20.4403,30.4305,-20.367,0.1
Ground Floor,WAL-I-006,29.8541,-21.0395,29.9127,-20.985,0.08
Ground Floor,WAL-I-006,30.5865,-20.3585,30.5184,-20.2853,0.1
Ground Floor,WAL-I-006,30.5865,-20.3585,30.4986,-20.4403,0.12
Ground Floor,WAL-I-006,29.7809,-21.1076,29.786,-20.9662,0.1414
Ground Floor,WAL-I-006,29.9127,-20.985,29.8446,-20.9118,0.1
Ground Floor,WAL-I-019,28.4594,-25.3403,28.3913,-25.2671,0.1
Ground Floor,WAL-I-019,27.8955,-25.8646,27.8274,-25.7914,0.1
Ground Floor,WAL-I-019,27.9101,-25.851,27.842,-25.7778,0.1
Ground Floor,WAL-I-019,28.4813,-25.3199,28.4132,-25.2466,0.1
Ground Floor,WAL-I-019,27.9101,-25.851,27.8274,-25.7914,0.102
Ground Floor,WAL-I-019,28.4813,-25.3199,28.3913,-25.2671,0.1044
Ground Floor,WAL-I-017,29.7449,-24.6229,29.813,-24.6961,0.1
Ground Floor,WAL-I-017,29.813,-24.6961,28.861,-25.5813,1.3
Ground Floor,WAL-I-017,28.7929,-25.5081,28.7197,-25.5762,0.1
Ground Floor,WAL-I-017,28.7929,-25.5081,28.861,-25.5813,0.1
Ground Floor,WAL-I-017,29.7449,-24.6229,28.7929,-25.5081,1.3
Ground Floor,WAL-I-017,29.7449,-24.6229,28.7929,-25.5081,1.3
Ground Floor,WAL-I-017,28.861,-25.5813,28.7929,-25.5081,0.1
Ground Floor,WAL-I-017,28.7929,-25.5081,28.861,-25.5813,0.1
Ground Floor,WAL-I-017,29.813,-24.6961,28.861,-25.5813,1.3
Ground Floor,WAL-I-017,28.861,-25.5813,28.7197,-25.5762,0.1414
Ground Floor,WAL-I-017,28.7197,-25.5762,28.7878,-25.6494,0.1
Ground Floor,WAL-I-017,28.861,-25.5813,28.7878,-25.6494,0.1
Ground Floor,WAL-I-017,29.813,-24.6961,28.7929,-25.5081,1.3038
Ground Floor,WAL-I-018,28.7929,-25.5081,28.7197,-25.5762,0.1
Ground Floor,WAL-I-018,28.7197,-25.5762,28.4132,-25.2466,0.45
Ground Floor,WAL-I-018,28.7929,-25.5081,28.4865,-25.1786,0.45
Ground Floor,WAL-I-018,28.4132,-25.2466,28.4865,-25.1786,0.1
Ground Floor,WAL-I-018,28.7197,-25.5762,28.4865,-25.1786,0.461
Ground Floor,WAL-I-037,30.4888,-25.5698,30.591,-25.6797,0.15
Ground Floor,WAL-I-037,28.9509,-26.9998,30.591,-25.6797,2.1054
Ground Floor,WAL-I-037,30.4888,-25.5698,28.9509,-26.9998,2.1
Ground Floor,WAL-I-037,29.053,-27.1096,30.591,-25.6797,2.1
Ground Floor,WAL-I-037,28.9509,-26.9998,29.053,-27.1096,0.15
Ground Floor,WAL-I-036,28.0086,-22.7554,28.4171,-23.1948,0.6
Ground Floor,WAL-I-036,30.4888,-25.5698,29.7398,-24.7642,1.1
Ground Floor,WAL-I-036,27.9354,-22.8235,28.4171,-23.1948,0.6083
Ground Floor,WAL-I-036,30.5621,-25.5017,29.813,-24.6961,1.1
Ground Floor,WAL-I-036,28.3439,-23.2629,28.4171,-23.1948,0.1
Ground Floor,WAL-I-036,30.5621,-25.5017,30.4888,-25.5698,0.1
Ground Floor,WAL-I-036,29.3653,-24.3614,29.7449,-24.6229,0.461
Ground Floor,WAL-I-036,29.6717,-24.691,29.7449,-24.6229,0.1
Ground Floor,WAL-I-036,28.0086,-22.7554,27.9354,-22.8235,0.1
Ground Floor,WAL-I-036,27.9354,-22.8235,28.3439,-23.2629,0.6
Ground Floor,WAL-I-036,29.3653,-24.3614,29.6717,-24.691,0.45
Ground Floor,WAL-I-036,29.3653,-24.3614,29.4385,-24.2934,0.1
Ground Floor,WAL-I-036,29.813,-24.6961,29.7398,-24.7642,0.1
Ground Floor,WAL-I-036,28.3439,-23.2629,28.4171,-23.1948,0.1
Ground Floor,WAL-I-036,29.4385,-24.2934,29.7449,-24.6229,0.45
Ground Floor,WAL-I-036,29.3653,-24.3614,29.6717,-24.691,0.45
Ground Floor,WAL-I-036,28.0086,-22.7554,28.4171,-23.1948,0.6
Ground Floor,WAL-I-036,29.3653,-24.3614,29.4385,-24.2934,0.1
Ground Floor,WAL-I-036,27.9354,-22.8235,28.3439,-23.2629,0.6
Ground Floor,WAL-I-036,29.813,-24.6961,30.4888,-25.5698,1.1045
Ground Floor,WAL-I-036,29.4385,-24.2934,29.7449,-24.6229,0.45
Ground Floor,WAL-I-036,28.3439,-23.2629,28.4171,-23.1948,0.1
Ground Floor,WAL-I-036,29.3653,-24.3614,29.4385,-24.2934,0.1
Ground Floor,WAL-I-008,31.1867,-21.151,32.3439,-20.0752,1.58
Ground Floor,WAL-I-008,31.1867,-21.151,32.2758,-20.0019,1.5832
Ground Floor,WAL-I-008,31.1867,-21.151,31.1187,-21.0778,0.1
Ground Floor,WAL-I-008,31.1187,-21.0778,32.2758,-20.0019,1.58
Ground Floor,WAL-I-008,32.3439,-20.0752,32.2758,-20.0019,0.1
Ground Floor,WAL-I-020,30.4618,-21.8399,30.0224,-22.2485,0.6
Ground Floor,WAL-I-020,30.4618,-21.8399,30.1245,-22.3583,0.6185
Ground Floor,WAL-I-020,30.0224,-22.2485,30.1245,-22.3583,0.15
Ground Floor,WAL-I-020,30.1245,-22.3583,30.5639,-21.9498,0.6
Ground Floor,WAL-I-020,30.4618,-21.8399,30.5639,-21.9498,0.15
Ground Floor,WAL-I-003,27.4809,-18.6339,29.7809,-21.1076,3.3777
Ground Floor,WAL-I-003,27.4809,-18.6339,29.8541,-21.0395,3.3791
Ground Floor,WAL-I-003,27.5542,-18.5659,29.8541,-21.0395,3.3777
Ground Floor,WAL-I-003,27.4809,-18.6339,27.5542,-18.5659,0.1
Ground Floor,WAL-I-003,29.7809,-21.1076,29.8541,-21.0395,0.1
Ground Floor,WAL-I-009,30.5132,-20.4266,30.5865,-20.3585,0.1
Ground Floor,WAL-I-009,30.5865,-20.3585,31.1238,-20.9365,0.7891
Ground Floor,WAL-I-009,30.5132,-20.4266,31.0506,-21.0046,0.7891
Ground Floor,WAL-I-009,31.1238,-20.9365,31.0506,-21.0046,0.1
Ground Floor,WAL-I-009,30.5865,-20.3585,31.0506,-21.0046,0.7954
Ground Floor,WAL-I-014,30.8318,-25.2509,30.4888,-25.5698,0.4684
Ground Floor,WAL-I-014,30.4888,-25.5698,30.9339,-25.3608,0.4917
Ground Floor,WAL-I-014,30.9339,-25.3608,30.591,-25.6797,0.4682
Ground Floor,WAL-I-014,30.8318,-25.2509,30.9339,-25.3608,0.15
Ground Floor,WAL-I-014,30.4888,-25.5698,30.591,-25.6797,0.15
